Country,More than 2 weeks,Between 1 and 2 weeks,Less than 1 week,Extreme precipitation events
Iceland,0,0,0,0
Malta,0,0,0,0
Saudi Arabia,0,0,10.59,10.59
Belgium,0,0,49.35,49.35
Argentina,0,0,58.91,58.91
Chile,0,0,61.73,61.73
Latvia,0,0,65.09,65.09
Bulgaria,0,0,67.74,67.74
Romania,0,0,67.85,67.85
Israel,0,0,68.18,68.18
T¨¹rkiye,0,0,68.83,68.83
Australia,0,0,69.04,69.04
United States,0,0.02,70.37,70.39
India,0,0.16,73.91,74.07
Sweden,0,0.02,74.6,74.62
Luxembourg,0,0,77.15,77.15
OECD - Total,0,0.59,76.65,77.24
New Zealand,0,0,77.92,77.92
South Africa,0,0,78.95,78.95
Spain,0,0,79.21,79.21
Croatia,0,0,80.76,80.76
Netherlands,0,0,81.34,81.34
Japan,0,0,81.4,81.4
Russia,0,0.02,81.43,81.45
Slovenia,0,0,82.03,82.03
Italy,0,0.21,82.24,82.45
Austria,0,0,82.51,82.51
European Union,0,0.2,82.65,82.85
Greece,0,0,83.56,83.56
China,0,0.3,83.32,83.62
Mexico,0,3.67,80.01,83.68
Canada,0,0.02,83.93,83.95
France,0.02,0.04,85.51,85.57
Finland,0,0.61,85.52,86.13
Estonia,0,0,86.71,86.71
Slovak Republic,0,0,87.01,87.01
Peru,0,9.61,77.89,87.5
Denmark,0,0,87.54,87.54
Germany,0,0,88.01,88.01
Portugal,0,0,88.44,88.44
Switzerland,0,0,89.25,89.25
Korea,0,0,89.81,89.81
Norway,0,4.88,85.91,90.79
Poland,0,1.25,89.54,90.79
United Kingdom,0,0,91.11,91.11
Ireland,0,10.58,81.3,91.88
Lithuania,0,0,92.56,92.56
Hungary,0,0,92.6,92.6
Indonesia,2.68,42.13,48.9,93.71
Brazil,0.02,3.44,90.3,93.76
Costa Rica,0,18.52,77.21,95.73
Czech Republic,0,0,96.57,96.57
Colombia,0.1,10.52,86.73,97.35
